gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group B,some high school,free/reduced,completed,10,80,56
female,group C,bachelor's degree,standard,none,92,75,30
male,group D,bachelor's degree,free/reduced,completed,68,57,2
female,group A,bachelor's degree,free/reduced,none,51,15,27
male,group E,some college,standard,none,4,94,18
male,group B,associate's degree,standard,none,89,83,16
female,group C,some high school,standard,completed,12,58,78
female,group E,bachelor's degree,standard,none,63,76,78
female,group B,some college,free/reduced,completed,94,86,51
male,group B,some high school,standard,completed,27,97,5
female,group A,bachelor's degree,standard,completed,18,96,53
female,group A,high school,standard,completed,31,74,5
female,group B,some high school,free/reduced,none,2,62,10
female,group B,some college,standard,completed,53,88,98
male,group C,some college,standard,completed,66,57,52
female,group C,high school,standard,none,91,63,78
female,group A,master's degree,free/reduced,none,71,30,24
female,group E,bachelor's degree,free/reduced,none,59,98,80
female,group A,bachelor's degree,standard,none,19,87,60
male,group C,some college,standard,none,82,46,36
female,group D,master's degree,free/reduced,completed,5,13,94
female,group E,some college,standard,none,62,65,14
female,group C,some high school,free/reduced,completed,53,25,95
male,group C,bachelor's degree,free/reduced,none,12,30,94
male,group C,associate's degree,standard,none,60,74,62
female,group D,some college,standard,completed,22,49,47
female,group D,some high school,standard,completed,34,25,42
female,group B,some high school,standard,completed,17,14,59
male,group D,some college,free/reduced,none,37,77,20
female,group E,high school,standard,none,52,66,62
female,group E,associate's degree,free/reduced,completed,1,93,54
female,group C,master's degree,free/reduced,none,75,19,73
female,group D,bachelor's degree,standard,completed,93,98,64
female,group D,high school,free/reduced,completed,89,12,57
male,group C,bachelor's degree,standard,completed,27,16,45
male,group C,some high school,standard,none,61,85,39
female,group D,high school,standard,completed,59,98,17
male,group C,master's degree,free/reduced,none,80,9,49
male,group E,bachelor's degree,free/reduced,completed,96,34,89
female,group B,high school,free/reduced,none,65,86,46
female,group B,associate's degree,free/reduced,completed,79,5,46
male,group C,some high school,standard,none,17,42,30
female,group D,some high school,standard,none,41,45,34
male,group A,bachelor's degree,standard,completed,44,57,62
female,group D,some high school,free/reduced,completed,79,47,86
female,group C,associate's degree,standard,none,50,22,36
female,group B,some college,free/reduced,none,89,18,63
female,group C,high school,standard,completed,53,87,69
female,group D,master's degree,free/reduced,completed,94,82,2
male,group C,bachelor's degree,standard,none,66,82,42
male,group E,master's degree,free/reduced,completed,75,85,89
male,group D,master's degree,standard,completed,21,33,29
male,group A,master's degree,standard,none,45,36,58
female,group E,some college,free/reduced,none,22,90,88
female,group C,some college,standard,none,40,73,16
male,group A,master's degree,standard,none,71,90,4
male,group A,some college,free/reduced,completed,69,20,68
male,group B,bachelor's degree,free/reduced,completed,98,18,58
male,group C,bachelor's degree,free/reduced,completed,60,37,96
female,group E,some high school,free/reduced,completed,88,14,93
male,group B,some college,standard,completed,3,51,79
female,group D,master's degree,standard,completed,7,77,82
female,group E,high school,standard,completed,25,2,10
male,group B,high school,free/reduced,none,62,40,77
female,group A,associate's degree,standard,completed,47,49,47
female,group A,master's degree,free/reduced,completed,57,71,11
female,group D,some high school,free/reduced,completed,36,20,93
male,group D,some college,standard,none,26,38,60
male,group B,high school,free/reduced,none,0,52,81
male,group D,some college,free/reduced,none,25,23,48
male,group E,associate's degree,standard,completed,74,38,63
male,group C,bachelor's degree,standard,none,33,38,81
male,group B,some high school,free/reduced,completed,22,62,88
female,group B,bachelor's degree,free/reduced,completed,8,76,95
male,group E,associate's degree,free/reduced,completed,80,87,60
female,group A,high school,standard,completed,20,74,7
female,group A,associate's degree,standard,completed,20,6,34
male,group D,some high school,free/reduced,none,37,37,67
female,group E,some college,standard,none,76,96,21
male,group A,some high school,free/reduced,completed,87,89,88
male,group B,high school,free/reduced,none,1,17,66
male,group A,associate's degree,free/reduced,completed,20,13,27
female,group E,some college,standard,none,53,58,9
female,group C,bachelor's degree,free/reduced,completed,39,88,46
female,group D,high school,free/reduced,none,90,38,3
female,group C,some college,standard,none,39,16,26
female,group B,associate's degree,standard,none,2,99,61
male,group B,some college,standard,none,84,65,75
female,group D,bachelor's degree,free/reduced,none,8,38,85
female,group B,bachelor's degree,standard,none,23,85,44
female,group B,some college,free/reduced,completed,45,20,64
female,group E,high school,standard,none,74,97,1
female,group C,master's degree,standard,none,92,12,27
male,group A,some high school,standard,completed,86,13,23
male,group D,associate's degree,standard,none,52,14,97
male,group B,associate's degree,standard,none,63,97,46
male,group E,some high school,standard,none,41,63,14
male,group A,associate's degree,free/reduced,completed,28,70,52
male,group D,some college,standard,completed,86,47,22
female,group D,some high school,standard,completed,56,66,84
female,group B,some college,free/reduced,completed,88,75,13
female,group B,master's degree,standard,completed,25,76,51
female,group C,associate's degree,free/reduced,completed,97,91,98
male,group D,master's degree,free/reduced,completed,62,65,35
female,group D,bachelor's degree,standard,completed,62,63,29
female,group B,bachelor's degree,standard,none,63,86,3
female,group D,high school,free/reduced,none,38,79,79
female,group B,some high school,free/reduced,completed,25,37,84
male,group D,high school,free/reduced,completed,69,69,2
female,group D,bachelor's degree,free/reduced,completed,40,48,56
male,group B,bachelor's degree,standard,completed,90,21,62
male,group C,master's degree,free/reduced,completed,97,14,72
male,group E,some high school,free/reduced,completed,71,20,64
female,group D,master's degree,free/reduced,completed,78,86,45
male,group A,bachelor's degree,standard,none,16,46,44
female,group A,associate's degree,standard,completed,44,45,52
male,group B,some high school,standard,none,30,82,39
female,group B,master's degree,standard,completed,21,2,68
male,group B,associate's degree,free/reduced,completed,34,2,89
male,group E,bachelor's degree,free/reduced,completed,73,49,41
female,group D,bachelor's degree,standard,completed,63,64,97
male,group C,high school,free/reduced,completed,55,25,63
female,group E,some college,free/reduced,completed,6,38,73
male,group C,high school,standard,none,75,43,34
female,group E,high school,free/reduced,completed,26,44,9
male,group E,master's degree,free/reduced,completed,25,53,51
male,group E,high school,free/reduced,none,2,80,90
female,group E,associate's degree,standard,completed,34,81,68
male,group E,some high school,standard,none,46,59,18
female,group C,some high school,free/reduced,completed,52,40,8
female,group D,master's degree,free/reduced,none,32,87,76
female,group D,some college,standard,none,24,3,31
male,group D,associate's degree,free/reduced,completed,82,4,25
